Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point,Year
Eastport,Maine,103,US-Canada Border,Oct 2024,Personal Vehicle Passengers,17823,44.859,-66.98,POINT (-66.98007566 44.8594395785),2024
Highgate Springs,Vermont,212,US-Canada Border,Oct 2024,Rail Containers Loaded,1048,45.015,-73.085,POINT (-73.085037 45.015414),2024
Norton,Vermont,211,US-Canada Border,Oct 2024,Trucks,541,45.011,-71.793,POINT (-71.793219 45.010771),2024
Champlain Rouses Point,New York,712,US-Canada Border,Oct 2024,Trucks,25604,45.009,-73.453,POINT (-73.4526634854 45.0088325953),2024
Metaline Falls,Washington,3025,US-Canada Border,Oct 2024,Buses,5,49.0,-117.299,POINT (-117.299444 48.999972),2024
Calais,Maine,115,US-Canada Border,Oct 2024,Buses,11,45.189,-67.275,POINT (-67.275381 45.188548),2024
Columbus,New Mexico,2406,US-Mexico Border,Oct 2024,Buses,76,31.784,-107.628,POINT (-107.627948 31.783742),2024
St John,North Dakota,3405,US-Canada Border,Oct 2024,Trucks,119,48.999,-99.659,POINT (-99.659111 48.999277),2024
Naco,Arizona,2603,US-Mexico Border,Oct 2024,Personal Vehicles,28913,31.334,-109.948,POINT (-109.948413 31.334084),2024
Carbury,North Dakota,3421,US-Canada Border,Oct 2024,Personal Vehicle Passengers,1500,48.999,-100.556,POINT (-100.555805 48.999416),2024
Fort Fairfield,Maine,107,US-Canada Border,Oct 2024,Personal Vehicles,7031,46.765,-67.789,POINT (-67.789471 46.765323),2024
Nogales,Arizona,2604,US-Mexico Border,Oct 2024,Rail Containers Empty,2828,31.333,-110.943,POINT (-110.942516 31.332839),2024
Alcan,Alaska,3104,US-Canada Border,Oct 2024,Personal Vehicles,1986,62.615,-141.001,POINT (-141.001444 62.614961),2024
Grand Portage,Minnesota,3613,US-Canada Border,Oct 2024,Buses,5,48.001,-89.585,POINT (-89.58515 48.001427),2024
Point Roberts,Washington,3017,US-Canada Border,Oct 2024,Personal Vehicle Passengers,75858,49.002,-123.068,POINT (-123.068055556 49.0020555547),2024
Port Angeles,Washington,3007,US-Canada Border,Oct 2024,Personal Vehicles,5604,48.122,-123.431,POINT (-123.430694 48.121858),2024
International Falls,Minnesota,3604,US-Canada Border,Oct 2024,Trains,296,48.608,-93.401,POINT (-93.401355 48.6078),2024
Brownsville,Texas,2301,US-Mexico Border,Oct 2024,Truck Containers Empty,16213,25.952,-97.401,POINT (-97.40067 25.95155),2024
Eagle Pass,Texas,2303,US-Mexico Border,Oct 2024,Trucks,25567,28.705,-100.512,POINT (-100.511977 28.705483),2024
International Falls,Minnesota,3604,US-Canada Border,Oct 2024,Personal Vehicle Passengers,33063,48.608,-93.401,POINT (-93.401355 48.6078),2024
Highgate Springs,Vermont,212,US-Canada Border,Oct 2024,Rail Containers Empty,144,45.015,-73.085,POINT (-73.085037 45.015414),2024
El Paso,Texas,2402,US-Mexico Border,Oct 2024,Trains,122,31.764,-106.451,POINT (-106.451188 31.764363),2024
Norton,Vermont,211,US-Canada Border,Oct 2024,Truck Containers Loaded,714,45.011,-71.793,POINT (-71.793219 45.010771),2024
Alexandria Bay,New York,708,US-Canada Border,Oct 2024,Bus Passengers,1324,44.347,-75.984,POINT (-75.983592 44.347229),2024
Fort Kent,Maine,110,US-Canada Border,Oct 2024,Personal Vehicle Passengers,9889,47.249,-68.604,POINT (-68.603918 47.249206),2024
Bridgewater,Maine,127,US-Canada Border,Oct 2024,Pedestrians,2,46.45,-67.785,POINT (-67.78484 46.450335),2024
Madawaska,Maine,109,US-Canada Border,Oct 2024,Personal Vehicles,25845,47.36,-68.329,POINT (-68.328684 47.360052),2024
Carbury,North Dakota,3421,US-Canada Border,Oct 2024,Personal Vehicles,766,48.999,-100.556,POINT (-100.555805 48.999416),2024
Portal,North Dakota,3403,US-Canada Border,Oct 2024,Buses,10,48.999,-102.552,POINT (-102.551944 48.998944),2024
Northgate,North Dakota,3406,US-Canada Border,Oct 2024,Personal Vehicles,787,48.999,-102.275,POINT (-102.27475 48.998833),2024
Sweetgrass,Montana,3310,US-Canada Border,Oct 2024,Rail Containers Loaded,2176,48.998,-111.96,POINT (-111.959611 48.998388),2024
Grand Portage,Minnesota,3613,US-Canada Border,Oct 2024,Truck Containers Empty,367,48.001,-89.585,POINT (-89.58515 48.001427),2024
Port Angeles,Washington,3007,US-Canada Border,Oct 2024,Truck Containers Loaded,38,48.122,-123.431,POINT (-123.430694 48.121858),2024
Sumas,Washington,3009,US-Canada Border,Oct 2024,Buses,23,49.002,-122.265,POINT (-122.264805 49.002388),2024
Port Huron,Michigan,3802,US-Canada Border,Oct 2024,Trucks,86787,42.999,-82.424,POINT (-82.423611 42.998611),2024
Buffalo Niagara Falls,New York,901,US-Canada Border,Oct 2024,Trains,133,43.095,-79.056,POINT (-79.055847 43.09549),2024
Eagle Pass,Texas,2303,US-Mexico Border,Oct 2024,Rail Containers Empty,15878,28.705,-100.512,POINT (-100.511977 28.705483),2024
Ysleta,Texas,2401,US-Mexico Border,Oct 2024,Truck Containers Loaded,71604,31.673,-106.335,POINT (-106.335449846028 31.6731261376859),2024
Madawaska,Maine,109,US-Canada Border,Oct 2024,Truck Containers Empty,998,47.36,-68.329,POINT (-68.328684 47.360052),2024
Eastport,Maine,103,US-Canada Border,Oct 2024,Pedestrians,87,44.859,-66.98,POINT (-66.98007566 44.8594395785),2024
Limestone,Maine,118,US-Canada Border,Oct 2024,Truck Containers Empty,212,46.925,-67.79,POINT (-67.789597 46.924555),2024
Porthill,Idaho,3308,US-Canada Border,Oct 2024,Truck Containers Loaded,23,49.0,-116.499,POINT (-116.49925 48.999861),2024
Calexico,California,2503,US-Mexico Border,Oct 2024,Personal Vehicles,472973,32.673,-115.388,POINT (-115.388018 32.673389),2024
Van Buren,Maine,108,US-Canada Border,Oct 2024,Rail Containers Loaded,533,47.16,-67.931,POINT (-67.930799 47.159645),2024
Kenneth G Ward,Washington,3023,US-Canada Border,Oct 2024,Truck Containers Loaded,3600,49.002,-122.485,POINT (-122.485027 49.002277),2024
